Target,PepID
Streptococcus_pneumoniae,pep.141
Streptococcus_pyogenes,pep.141
Streptococcus_salivarius,pep.141
Streptococcus_sanguinis,pep.141
Bacillus_anthracis,pep.142
Brucella_melitensis,pep.142
Bacillus_anthracis,pep.143
Brucella_melitensis,pep.143
Bacillus_anthracis,pep.144
Yersinia_pestis,pep.144
Bacillus_anthracis,pep.145
Brucella_melitensis,pep.145
Yersinia_pestis,pep.145
Bacillus_anthracis,pep.146
Brucella_melitensis,pep.146
Bacillus_anthracis,pep.147
Brucella_melitensis,pep.147
Yersinia_pestis,pep.147
Bacillus_anthracis,pep.148
Brucella_melitensis,pep.148
Francisella_tularensis,pep.148
Yersinia_pestis,pep.148
Bacillus_anthracis,pep.149
Brucella_melitensis,pep.149
Francisella_tularensis,pep.149
Yersinia_pestis,pep.149
Bacillus_anthracis,pep.150
Francisella_tularensis,pep.150
Bacillus_cereus,pep.151
Enterobacter_cloacae,pep.151
Klebsiella_pneumoniae,pep.151
Staphylococcus_aureus,pep.151
Staphylococcus_haemolyticus,pep.151
Staphylococcus_saprophyticus,pep.151
Bacillus_cereus,pep.152
Listeria_monocytogenes,pep.152
Bacillus_cereus,pep.153
Burkholderia_stabilis,pep.153
Lelliottia_amnigena,pep.153
Sporosarcina_ureae,pep.153
Bacillus_cereus,pep.154
Helicobacter_pylori,pep.154
Bacillus_cereus,pep.155
Listeria_monocytogenes,pep.155
Staphylococcus_haemolyticus,pep.155
Staphylococcus_saprophyticus,pep.155
Bacillus_cereus,pep.156
Bacillus_cereus,pep.157
Fusarium_oxysporum,pep.157
Fusarium_solani,pep.157
Pectobacterium_carotovorum,pep.157
Rhizoctonia_solani,pep.157
Trichoderma_asperellum,pep.157
Xanthomonas_campestris,pep.157
Bacillus_cereus,pep.158
Bacillus_pumilus,pep.158
Pseudomonas_fluorescens,pep.158
Shigella_flexneri,pep.158
Bacillus_circulans,pep.159
Enterococcus_faecium,pep.159
Lactobacillus_plantarum,pep.159
Lactobacillus_sakei,pep.159
Leuconostoc_mesenteroides,pep.159
Listeria_innocua,pep.159
Listeria_ivanovii,pep.159
Listeria_monocytogenes,pep.159
Pediococcus_pentosaceus,pep.159
Bacillus_circulans,pep.160
Bacillus_coagulans,pep.160
Enterococcus_hirae,pep.160
Lactobacillus_plantarum,pep.160
Lactobacillus_sakei,pep.160
Bacillus_circulans,pep.161
Leuconostoc_mesenteroides,pep.161
Bacillus_circulans,pep.162
Leuconostoc_mesenteroides,pep.162
Bacillus_circulans,pep.163
Pediococcus_pentosaceus,pep.163
Bacillus_coagulans,pep.164
Lactobacillus_plantarum,pep.164
Lactobacillus_sakei,pep.164
Listeria_innocua,pep.164
Bacillus_coagulans,pep.165
Vibrio_cholerae,pep.165
Bacillus_coagulans,pep.166
Bacillus_coagulans,pep.167
Vibrio_cholerae,pep.167
Bacillus_coagulans,pep.168
Vibrio_cholerae,pep.168
Bacillus_coagulans,pep.169
Clostridium_perfringens,pep.169
Clostridium_sporogenes,pep.169
Geobacillus_stearothermophilus,pep.169
Paenibacillus_polymyxa,pep.169
Bacillus_coagulans,pep.170
Bacillus_coagulans,pep.171
Bacillus_coagulans,pep.172
Corynebacterium_striatum,pep.172
Kocuria_rhizophila,pep.172
Lactobacillus_plantarum,pep.172
Lactobacillus_sakei,pep.172
Leuconostoc_mesenteroides,pep.172
Pediococcus_pentosaceus,pep.172
Bacillus_flexus,pep.173
Bacillus_licheniformis,pep.174
Bacillus_licheniformis,pep.175
Bacillus_licheniformis,pep.176
Serratia_rubidaea,pep.176
Staphylococcus_carnosus,pep.176
Bacillus_licheniformis,pep.177
Bacillus_licheniformis,pep.178
Bacillus_licheniformis,pep.179
Staphylococcus_carnosus,pep.179
Bacillus_licheniformis,pep.180
Serratia_rubidaea,pep.180
Staphylococcus_carnosus,pep.180
Bacillus_licheniformis,pep.181
Serratia_rubidaea,pep.181
Bacillus_licheniformis,pep.182
Serratia_rubidaea,pep.182
Bacillus_licheniformis,pep.183
Bacillus_megaterium,pep.184
Listonella_anguillarum,pep.184
Yersinia_enterocolitica,pep.184
Bacillus_megaterium,pep.185
Bacillus_megaterium,pep.186
Yersinia_enterocolitica,pep.186
Bacillus_megaterium,pep.187
Bacillus_megaterium,pep.188
Bacillus_megaterium,pep.189
Bacillus_megaterium,pep.190
Bacillus_megaterium,pep.191
Bacillus_pumilus,pep.192
Staphylococcus_aureus,pep.192
Bacillus_pumilus,pep.193
Bacillus_pumilus,pep.194
Bacillus_pumilus,pep.195
Bacillus_pumilus,pep.196
Bacillus_pumilus,pep.197
Bacillus_pumilus,pep.198
Bacillus_pumilus,pep.199
Bacillus_simplex,pep.200
Bacillus_simplex,pep.201
Bacillus_sp.,pep.202
Bacillus_subtilis,pep.203
Lactobacillus_plantarum,pep.203
Lactobacillus_sakei,pep.203
Lactococcus_lactis,pep.203
Listeria_innocua,pep.203
Micrococcus_luteus,pep.203
Staphylococcus_carnosus,pep.203
Bacillus_subtilis,pep.204
Bacillus_subtilis,pep.205
Porphyromonas_gingivalis,pep.205
Streptococcus_gordonii,pep.205
Bacillus_subtilis,pep.206
Bacillus_subtilis,pep.207
Escherichia_coli,pep.207
Bacillus_subtilis,pep.208
Bacillus_subtilis,pep.209
Bacillus_subtilis,pep.210
Bacillus_thuringiensis,pep.211
Delftia_acidovorans,pep.211
Bacillus_thuringiensis,pep.212
Delftia_acidovorans,pep.212
Bacillus_thuringiensis,pep.213
Staphylococcus,pep.213
Bacillus_thuringiensis,pep.214
Colletotrichum_gloeosporioides,pep.214
Metarhizium_anisopliae,pep.214
Bacillus_thuringiensis,pep.215
Bacillus_thuringiensis,pep.216
Staphylococcus,pep.216
Bacillus_thuringiensis,pep.217
Bacillus_thuringiensis,pep.218
Bacteroides_fragilis,pep.219
Bacteroides_thetaiotaomicron,pep.219
Citrobacter_freundii,pep.219
Cutibacterium_acnes,pep.219
Haemophilus_influenzae,pep.219
Helicobacter_pylori,pep.219
Klebsiella_oxytoca,pep.219
Streptococcus_equinus,pep.219
Veillonella_parvula,pep.219
Bacteroides_fragilis,pep.220
Bacteroides_fragilis,pep.221
Bifidobacterium_longum,pep.221
Lactobacillus_reuteri,pep.221
Mycobacterium_avium,pep.221
Mycobacterium_smegmatis,pep.221
Mycobacterium_tuberculosis,pep.221
Bacteroides_fragilis,pep.222
Clostridium_septicum,pep.222
Fusobacterium_varium,pep.222
Prevotella_melaninogenica,pep.222
Bacteroides_fragilis,pep.223
Clostridium_perfringens,pep.223
Clostridium_septicum,pep.223
Fusobacterium_varium,pep.223
Prevotella_melaninogenica,pep.223
Bacteroides_fragilis,pep.224
Clostridium_septicum,pep.224
Fusobacterium_varium,pep.224
Prevotella_melaninogenica,pep.224
Bacteroides_fragilis,pep.225
Clostridium_perfringens,pep.225
Clostridium_septicum,pep.225
Fusobacterium_varium,pep.225
Prevotella_melaninogenica,pep.225
Bibersteinia_trehalosi,pep.226
Mannheimia_haemolytica,pep.226
Pasteurella_multocida,pep.226
Bibersteinia_trehalosi,pep.227
Corynebacterium_pseudotuberculosis,pep.227
Fusobacterium_nucleatum,pep.227
Mannheimia_haemolytica,pep.227
Pasteurella_multocida,pep.227
Bibersteinia_trehalosi,pep.228
Corynebacterium_pseudotuberculosis,pep.228
Mannheimia_haemolytica,pep.228
Pasteurella_multocida,pep.228
Bibersteinia_trehalosi,pep.229
Mannheimia_haemolytica,pep.229
Pasteurella_multocida,pep.229
Bibersteinia_trehalosi,pep.230
Mannheimia_haemolytica,pep.230
Pasteurella_multocida,pep.230
Bibersteinia_trehalosi,pep.231
Corynebacterium_pseudotuberculosis,pep.231
Bibersteinia_trehalosi,pep.232
Corynebacterium_pseudotuberculosis,pep.232
Bordetella_bronchiseptica,pep.233
Bordetella_bronchiseptica,pep.234
Bordetella_bronchiseptica,pep.235
Bordetella_bronchiseptica,pep.236
Bordetella_bronchiseptica,pep.237
Yersinia_pestis,pep.237
Bordetella_bronchiseptica,pep.238
Bordetella_bronchiseptica,pep.239
Bordetella_bronchiseptica,pep.240
Bordetella_bronchiseptica,pep.241
Bordetella_bronchiseptica,pep.242
Botrytis_cinerea,pep.243
Botrytis_cinerea,pep.244
Botrytis_cinerea,pep.245
Pythium_ultimum,pep.245
Sclerotinia_sclerotiorum,pep.245
Botrytis_cinerea,pep.246
Colletotrichum_acutatum,pep.246
Rhizoctonia_solani,pep.246
Botrytis_cinerea,pep.247
Penicillium_digitatum,pep.247
Botrytis_cinerea,pep.248
Botrytis_cinerea,pep.249
Brucella_melitensis,pep.250
Francisella_tularensis,pep.250
Brucella_melitensis,pep.251
Francisella_tularensis,pep.251
Yersinia_pestis,pep.251
Brucella_melitensis,pep.252
Francisella_tularensis,pep.252
Yersinia_pestis,pep.252
Burkholderia_cenocepacia,pep.253
Burkholderia_cenocepacia,pep.254
Burkholderia_cenocepacia,pep.255
Burkholderia_cenocepacia,pep.256
Burkholderia_cepacia,pep.257
Burkholderia_cepacia,pep.258
Enterococcus_faecium,pep.258
Enterococcus_gallinarum,pep.258
Staphylococcus_aureus,pep.258
Streptococcus_pneumoniae,pep.258
Burkholderia_cepacia,pep.259
Enterococcus_gallinarum,pep.259
Streptococcus_pneumoniae,pep.259
Burkholderia_cepacia,pep.260
Enterococcus_gallinarum,pep.260
Burkholderia_cepacia,pep.261
Burkholderia_cepacia,pep.262
Leishmania_major,pep.262
Burkholderia_cepacia,pep.263
Burkholderia_cepacia,pep.264
Clavispora_lusitaniae,pep.264
Fusarium_culmorum,pep.264
Lactococcus_garvieae,pep.264
Moraxella_catarrhalis,pep.264
Neurospora_crassa,pep.264
Streptococcus_dysgalactiae,pep.264
Streptococcus_equinus,pep.264
Streptococcus_iniae,pep.264
Vibrio_cholerae,pep.264
Burkholderia_cepacia,pep.265
Burkholderia_cepacia,pep.266
Campylobacter_jejuni,pep.267
Escherichia_coli,pep.267
Jonesia_denitrificans,pep.267
Listeria_ivanovii,pep.267
Morganella_morganii,pep.267
Salmonella_enterica,pep.267
Shigella_dysenteriae,pep.267
Staphylococcus_aureus,pep.267
Staphylococcus_epidermidis,pep.267
Yersinia_enterocolitica,pep.267
Yersinia_pseudotuberculosis,pep.267
Campylobacter_jejuni,pep.268
Citrobacter_freundii,pep.268
Clostridium_perfringens,pep.268
Listeria_monocytogenes,pep.268
Morganella_morganii,pep.268
Proteus_mirabilis,pep.268
Proteus_vulgaris,pep.268
Salmonella_enterica,pep.268
Shigella_dysenteriae,pep.268
Yersinia_enterocolitica,pep.268
Yersinia_pseudotuberculosis,pep.268
Campylobacter_jejuni,pep.269
Campylobacter_jejuni,pep.270
Campylobacter_jejuni,pep.271
Flavobacterium_psychrophilum,pep.271
Yersinia_ruckeri,pep.271
Campylobacter_jejuni,pep.272
Campylobacter_jejuni,pep.273
Candida_albicans,pep.274
Candida_albicans,pep.275
Candida_albicans,pep.276
Micrococcus_luteus,pep.276
Candida_albicans,pep.277
Saccharomyces_cerevisiae,pep.277
Candida_albicans,pep.278
Cryptococcus_neoformans,pep.278
Pseudomonas_putida,pep.278
Saccharomyces_cerevisiae,pep.278
Streptococcus_mutans,pep.278
Candida_albicans,pep.279
Candida_albicans,pep.280
Candida_albicans,pep.281
Candida_albicans,pep.282
Candida_albicans,pep.283
Candida_parapsilosis,pep.284
Candida_tropicalis,pep.284
Pichia_kudriavzevii,pep.284
Candida_parapsilosis,pep.285
Candida_tropicalis,pep.285
Pichia_kudriavzevii,pep.285
Candida_parapsilosis,pep.286
Candida_parapsilosis,pep.287
Candida_parapsilosis,pep.288
Candida_parapsilosis,pep.289
Candida_parapsilosis,pep.290
Sporothrix_schenckii,pep.290
Candida_tropicalis,pep.291
Pectobacterium_carotovorum,pep.291
Streptococcus_dysgalactiae,pep.291
Trichoderma_asperellum,pep.291
Xanthomonas_axonopodis,pep.291
